Date	weight
29/09/2016	89,2
30/09/2016	89,4
02/10/2016	90,4
03/10/2016	89,6
04/10/2016	89,4
05/10/2016	90,2
06/10/2016	90,4
07/10/2016	90
18/10/2016	90,8
19/10/2016	90
20/10/2016	90
21/10/2016	89,2
22/10/2016	89,4
23/10/2016	89,8
24/10/2016	90,4
25/10/2016	89,4
26/10/2016	89,8
27/10/2016	90,2
28/10/2016	88,6
08/11/2016	92
09/11/2016	89,8
10/11/2016	90
11/11/2016	90
14/11/2016	90,6
15/11/2016	90
16/11/2016	89,4
17/11/2016	90
18/11/2016	90,2
21/11/2016	90,6
22/11/2016	89,4
23/11/2016	89,6
24/11/2016	88,8
25/11/2016	89,6
26/11/2016	91,4
27/11/2016	90,6
28/11/2016	89,6
29/11/2016	89,4
30/11/2016	89,8
01/12/2016	90
10/12/2016	92,2
12/12/2016	90,6
19/12/2016	91
20/12/2016	91
21/12/2016	90,8
22/12/2016	90,6
23/12/2016	89,8
25/12/2016	90,2
26/12/2016	90
27/12/2016	89,6
28/12/2016	90,4
02/01/2017	91,6
04/01/2017	91,4
05/01/2017	90,8
06/01/2017	91,8
09/01/2017	91,2
10/01/2017	90,4
11/01/2017	90
12/01/2017	90,8
13/01/2017	90,2
14/01/2017	90,8
17/01/2017	90,4
18/01/2017	89,4
19/01/2017	89,4
20/01/2017	89,6
21/01/2017	90,2
22/01/2017	90,4
23/01/2017	89,4
24/01/2017	88,2
25/01/2017	88,6
26/01/2017	88,2
28/01/2017	88,4
29/01/2017	89
30/01/2017	89,2
31/01/2017	88,8
01/02/2017	88,4
02/02/2017	88
03/02/2017	87,6
04/02/2017	88,6
05/02/2017	88,4
06/02/2017	88
07/02/2017	87,2
08/02/2017	88
13/02/2017	89,6
14/02/2017	88,8
15/02/2017	89,4
16/02/2017	88,6
17/02/2017	88
18/02/2017	87,4
19/02/2017	88,2
20/02/2017	88,2
21/02/2017	87,6
22/02/2017	87,4
23/02/2017	88,4
24/02/2017	88,2
25/02/2017	87,6
26/02/2017	87,6
27/02/2017	88,4
28/02/2017	87,4
01/03/2017	87,8
02/03/2017	88
03/03/2017	87
04/03/2017	87,8
05/03/2017	87,4
06/03/2017	87,6
07/03/2017	87,8
08/03/2017	87,2
09/03/2017	87,2
10/03/2017	86,4
11/03/2017	88,2
12/03/2017	88,2
13/03/2017	88,2
14/03/2017	88,2
15/03/2017	87,8
16/03/2017	87,6
17/03/2017	86,8
18/03/2017	87
19/03/2017	87,6
20/03/2017	88,8
21/03/2017	89,2
22/03/2017	88
23/03/2017	88,2
24/03/2017	88,6
25/03/2017	88,4
26/03/2017	89,2
29/03/2017	88,2
31/03/2017	88,8
01/04/2017	88,4
02/04/2017	87,6
15/04/2017	88,4
16/04/2017	88,8
17/04/2017	89,8
18/04/2017	88,6
19/04/2017	88,8
20/04/2017	88,4
21/04/2017	89
23/04/2017	88,2
24/04/2017	88,4
25/04/2017	88,4
26/04/2017	
27/04/2017	
28/04/2017	88
03/05/2017	88,4
04/05/2017	87,4
05/05/2017	88
06/05/2017	89
13/05/2017	89,2
14/05/2017	89,6
15/05/2017	89,4
16/05/2017	89
17/05/2017	88,4
18/05/2017	88,6
19/05/2017	89,8
20/05/2017	89,6
21/05/2017	90,6
22/05/2017	89,2
26/05/2017	89
27/05/2017	88,4
29/05/2017	90
30/05/2017	88,6
31/05/2017	89,8
01/06/2017	89
05/05/2017	90,2
06/05/2017	89,4
07/05/2017	88,4
08/05/2017	89
09/05/2017	88,2
10/05/2017	89,4
11/05/2017	88,2
12/05/2017	89
13/05/2017	88
14/05/2017	88,2
18/06/2017	90,6
19/06/2017	90
26/06/2017	89,6
27/06/2017	90,6
28/06/2017	90
29/06/2017	90,2
30/06/2017	88,4
10/07/2017	90,2
11/07/2017	91,2
12/07/2017	91
